city,timestamp,temperature,season
New York,2010-01-01,-4.180239402876399,winter
New York,2010-01-02,-2.8176177182547404,winter
New York,2010-01-03,0.4073047198854512,winter
New York,2010-01-04,1.0069429926067472,winter
New York,2010-01-05,-0.4991983923069907,winter
New York,2010-01-06,3.113077296752707,winter
New York,2010-01-07,-3.548886920286617,winter
New York,2010-01-08,1.6382191972610283,winter
New York,2010-01-09,2.6472172784658476,winter
New York,2010-01-10,2.1145080510170082,winter
New York,2010-01-11,3.754171648746103,winter
New York,2010-01-12,-1.9544024162674605,winter
New York,2010-01-13,0.2217006605004535,winter
New York,2010-01-14,-0.6622063665986201,winter
New York,2010-01-15,0.5473523935815704,winter
New York,2010-01-16,-3.9595713400827925,winter
New York,2010-01-17,10.973043343602932,winter
New York,2010-01-18,0.674367456590135,winter
New York,2010-01-19,-0.9965301454944056,winter
New York,2010-01-20,3.5148292013272298,winter
New York,2010-01-21,-6.62048847637405,winter
New York,2010-01-22,-3.1814854934485783,winter
New York,2010-01-23,-4.516418920874991,winter
New York,2010-01-24,-4.737849271836168,winter
New York,2010-01-25,5.6155122732172815,winter
New York,2010-01-26,9.255680710034788,winter
New York,2010-01-27,1.6710685337307503,winter
New York,2010-01-28,-2.8100774223403926,winter
New York,2010-01-29,0.6634009837977985,winter
New York,2010-01-30,2.722476659733738,winter
New York,2010-01-31,-0.06652372464750857,winter
New York,2010-02-01,-3.74482673187267,winter
New York,2010-02-02,-2.472250081091572,winter
New York,2010-02-03,-0.7719804431050628,winter
New York,2010-02-04,-6.016652817645305,winter
New York,2010-02-05,1.1799889165064164,winter
New York,2010-02-06,5.623233513068772,winter
New York,2010-02-07,-4.738013665252242,winter
New York,2010-02-08,3.3547912669802904,winter
New York,2010-02-09,-2.567150922222747,winter
New York,2010-02-10,-4.721875150944886,winter
New York,2010-02-11,-8.581176155654527,winter
New York,2010-02-12,-6.49440371365594,winter
New York,2010-02-13,-8.529361257054273,winter
New York,2010-02-14,-2.7261664882575176,winter
New York,2010-02-15,-0.03602320771356033,winter
New York,2010-02-16,3.7939621606606257,winter
New York,2010-02-17,8.159327626613424,winter
New York,2010-02-18,-5.681175533418601,winter
New York,2010-02-19,-1.19221971260518,winter
New York,2010-02-20,0.3858906512651744,winter
New York,2010-02-21,-1.3972176151219495,winter
New York,2010-02-22,0.19808839888655422,winter
New York,2010-02-23,-6.377098333898061,winter
New York,2010-02-24,6.58541215952982,winter
New York,2010-02-25,-9.897108800173074,winter
New York,2010-02-26,-0.8006143597586843,winter
New York,2010-02-27,-11.966673475546619,winter
New York,2010-02-28,-1.993681711844991,winter
New York,2010-03-01,13.307124047697036,spring
New York,2010-03-02,7.008216007021332,spring
New York,2010-03-03,10.473290826426613,spring
New York,2010-03-04,3.1698681644105413,spring
New York,2010-03-05,6.172423092350388,spring
New York,2010-03-06,10.903401452083587,spring
New York,2010-03-07,13.398143593016746,spring
New York,2010-03-08,5.023693855020262,spring
New York,2010-03-09,9.342367162273751,spring
New York,2010-03-10,16.437578140539507,spring
New York,2010-03-11,9.113545386859057,spring
New York,2010-03-12,12.726098910193803,spring
New York,2010-03-13,13.764657438947415,spring
New York,2010-03-14,2.148147710315631,spring
New York,2010-03-15,11.740455994923773,spring
New York,2010-03-16,18.976450814558106,spring
New York,2010-03-17,15.00391995376927,spring
New York,2010-03-18,9.398519246522497,spring
New York,2010-03-19,2.3112457555715613,spring
New York,2010-03-20,12.614096981321723,spring
New York,2010-03-21,12.063664452906611,spring
New York,2010-03-22,12.861904670307727,spring
New York,2010-03-23,5.569545546759136,spring
New York,2010-03-24,7.233622268349693,spring
New York,2010-03-25,4.200439871773559,spring
New York,2010-03-26,8.28923242454087,spring
New York,2010-03-27,3.5719776376543946,spring
New York,2010-03-28,11.40344762735467,spring
New York,2010-03-29,11.346642261166066,spring
New York,2010-03-30,15.829737529712961,spring
New York,2010-03-31,17.469542178487572,spring
New York,2010-04-01,15.170886811377054,spring
New York,2010-04-02,10.52815766360493,spring
New York,2010-04-03,1.6284773002076776,spring
New York,2010-04-04,0.39873625167976634,spring
New York,2010-04-05,13.283625651224185,spring
New York,2010-04-06,11.25937776954903,spring
New York,2010-04-07,14.516521612640403,spring
New York,2010-04-08,18.614355072751838,spring
New York,2010-04-09,14.417984852385104,spring
New York,2010-04-10,16.48454827909868,spring
New York,2010-04-11,6.304993029004509,spring
New York,2010-04-12,5.338664896293323,spring
New York,2010-04-13,12.352865045595513,spring
New York,2010-04-14,2.2364825630033067,spring
New York,2010-04-15,12.599103720709316,spring
New York,2010-04-16,10.416943451614836,spring
New York,2010-04-17,3.0719155358865837,spring
New York,2010-04-18,14.32150494941578,spring
New York,2010-04-19,6.806559463474936,spring
New York,2010-04-20,7.337358118727086,spring
